Symbol,Name,Sector,Price,Dividend Yield,Price/Earnings,Earnings/Share,Book Value,52 week low,52 week high,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings
MMM,3M Company,Industrials,189.09,2.48,23.17,8.16,17.26,158.28,190.54,112.74,8.70,3.74,10.95,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MMM
ABT,Abbott Laboratories,Health Care,45.00,2.34,48.03,0.94,13.94,36.76,45.83,77.76,4.59,3.74,3.24,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABT
ABBV,AbbVie,Health Care,63.69,4.04,17.55,3.63,2.91,54.41,68.12,101.52,10.95,3.95,21.83,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABBV
ACN,Accenture plc,Information Technology,124.14,1.96,18.37,6.76,11.95,102.10,125.72,77.29,5.66,2.30,10.32,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ACN
ATVI,Activision Blizzard,Information Technology,48.06,0.64,37.55,1.28,12.23,30.37,48.36,36.13,2.14,5.44,3.91,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ATVI
AYI,Acuity Brands Inc,Industrials,205.41,0.25,29.68,6.92,39.50,193.06,280.89,9.00,0.5862,2.64,5.19,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AYI
ADBE,Adobe Systems Inc,Information Technology,119.98,0.00,51.72,2.32,15.02,83.25,120.69,59.28,1.82,10.14,8.00,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADBE
AAP,Advance Auto Parts,Consumer Discretionary,151.99,0.15,24.51,6.20,39.66,132.98,177.83,11.18,1.12,1.19,3.89,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AAP
AES,AES Corp,Utilities,11.33,4.16,,-1.71,4.24,10.27,13.32,7.47,3.42,0.56,2.72,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AES
AET,Aetna Inc,Health Care,130.59,1.53,20.37,6.41,50.84,104.59,136.50,45.93,6.20,0.73,2.58,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AET
AMG,Affiliated Managers Group Inc,Financials,166.56,0.47,19.44,8.57,63.84,130.48,179.85,9.44,0.835,4.32,2.62,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMG
AFL,AFLAC Inc,Financials,71.95,2.38,11.21,6.42,50.47,59.66,74.50,28.88,4.78,1.27,1.43,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AFL
A,Agilent Technologies Inc,Health Care,51.21,1.02,32.85,1.56,13.35,37.62,52.26,16.49,0.942,3.89,3.84,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=A
APD,Air Products & Chemicals Inc,Materials,139.64,2.72,53.77,2.60,32.91,123.05,150.45,30.38,3.13,3.18,4.23,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APD
AKAM,Akamai Technologies Inc,Information Technology,63.30,,35.36,1.79,18.61,47.80,71.64,10.96,0.70798,4.67,3.39,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AKAM
ALK,Alaska Air Group Inc,Industrials,95.12,1.21,14.54,6.54,23.77,54.51,101.43,11.74,1.82,2.01,4.07,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALK
ALB,Albemarle Corp,Materials,103.79,1.22,18.26,5.68,33.73,58.60,105.20,11.68,0.70201,4.29,3.03,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALB
ALXN,Alexion Pharmaceuticals,Health Care,129.18,,73.40,1.76,38.81,109.12,162.00,29.02,1.17,9.71,3.44,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALXN
ALLE,Allegion,Industrials,72.86,0.87,30.87,2.36,1.19,61.47,75.00,6.96,0.4789,3.12,61.57,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALLE