Symbol,Name,Sector
MMM,3M Company,Industrials
ABT,Abbott Laboratories,Health Care
ABBV,AbbVie,Health Care
ACN,Accenture plc,Information Technology
ATVI,Activision Blizzard,Information Technology
AYI,Acuity Brands Inc,Industrials
ADBE,Adobe Systems Inc,Information Technology
AAP,Advance Auto Parts,Consumer Discretionary
AES,AES Corp,Utilities
AET,Aetna Inc,Health Care
AMG,Affiliated Managers Group Inc,Financials
AFL,AFLAC Inc,Financials
A,Agilent Technologies Inc,Health Care
APD,Air Products & Chemicals Inc,Materials
AKAM,Akamai Technologies Inc,Information Technology
ALK,Alaska Air Group Inc,Industrials
ALB,Albemarle Corp,Materials
ALXN,Alexion Pharmaceuticals,Health Care
ALLE,Allegion,Industrials